Timestamp,Position,40m X-wind (m/s),40m Y-wind (m/s),60m X-wind (m/s),60m Y-wind (m/s),80m X-wind (m/s),80m Y-wind (m/s),100m X-wind (m/s),100m Y-wind (m/s),120m X-wind (m/s),120m Y-wind (m/s),140m X-wind (m/s),140m Y-wind (m/s),160m X-wind (m/s),160m Y-wind (m/s),180m X-wind (m/s),180m Y-wind (m/s),200m X-wind (m/s),200m Y-wind (m/s)
2020-01-02 13:00:00,135.0,-2.6781533546325846,4.174535410010659,-3.1466432374866944,4.8941994142704885,-3.4959776357827503,5.243293663471774,-3.8163908413205347,5.295306709265187,-4.222949414270494,5.034914536741212,-4.659927582534599,4.447928115015986,-5.030851437699695,3.676146964856233,-5.336237486687947,2.9117550585729464,-5.600628255208331,2.4313346354166705
2020-01-02 14:00:00,135.0358375365012,-3.8580106185293266,4.44640164587204,-4.585769843376703,5.186143350145991,-5.086972922750191,5.43902468808071,-5.560736925935772,5.4254828776214685,-6.10170878683301,5.175464560658367,-6.642960976904684,4.549177594903107,-6.996479957525876,3.5270029200955864,-7.0145849363316115,2.4489138444865874,-6.564661485319513,1.5879831606217574
2020-01-02 15:00:00,135.0,-4.429939829605951,3.6827412140575264,-5.582666666666669,3.8333194888178888,-6.363242279020208,3.4001419062832814,-6.868202342917969,2.8032489350372707,-7.234592651757207,2.136362087326942,-7.384466325431014,1.505783405172414,-7.762706031058148,1.0281527627302276,-8.134472087378644,0.6634805825242733,-7.917733333333332,0.41440000000000005
2020-01-02 16:00:00,134.9641814804988,-3.5919328734412503,4.0352162377288465,-4.748879808967885,4.700955691164757,-5.685593260811899,4.762928628283384,-6.392740780047755,4.388349694879285,-6.792715309100578,3.7570711063942683,-7.061523746351789,3.1523372247280523,-7.226162516823672,2.5862473082099546,-7.573531343283591,2.366819402985076,-7.544499999999999,2.0776250000000003
2020-01-02 17:00:00,134.9880604934996,-4.0590642080127335,4.035046696736551,-5.312482356062612,4.329729105863624,-6.265744494560893,3.69966489785088,-6.933297161050669,2.891687980896794,-7.439274078004774,2.0459777129211973,-7.81153117537809,1.2801732555054395,-8.03820464852608,0.65253259637188,-8.0785576441103,-0.09205764411027573,-8.068501754385958,-0.5572912280701755
2020-01-02 18:00:00,135.0477453580902,-4.516100795755948,3.3762766578249397,-5.623776127320945,2.9171050397878084,-6.262853580901832,2.122272679045093,-6.791336339522547,1.4394453580901816,-7.247696021220159,0.7828427055702921,-7.653229177718822,0.25123660477453597,-7.989959681697635,-0.2313854111405839,-8.336744653272818,-0.7022634478289047,-8.606530042918445,-1.1082768240343361
2020-01-02 19:00:00,134.9641814804988,-4.4150087556381115,2.9137123905545237,-5.597663305916685,2.968495622180951,-6.545881400902101,2.6324820907402446,-7.299481560095502,1.947657999469352,-7.836244096577333,1.0540989652427688,-8.305351021491093,0.294421066595915,-8.777435128681352,-0.3670734942955678,-9.204764295676402,-0.9811333333333346,-9.614759721416139,-1.4356401625072552
2020-01-02 20:00:00,135.03579952267305,-4.312297533810646,3.287445239989375,-5.583086979581008,3.2098485812781763,-6.489874038716501,2.718637496685233,-7.182938212675689,2.060620525059664,-7.791512596128343,1.2410684168655515,-8.192867674356942,0.4628944577035271,-8.53281762019875,-0.22375637926403438,-8.81813700564972,-0.8531769067796633,-8.954336397058805,-1.293091911764705
2020-01-02 21:00:00,134.9641814804988,-5.319249137702319,3.7399055452374563,-6.806256036083848,4.177881135579717,-7.740738126824107,3.831813213053858,-8.205931812151757,3.0900137967630745,-8.36924887237993,2.1703902892013787,-8.426477580259991,1.3050257362695634,-8.556317305080123,0.5790584080412903,-8.608262172284647,0.07848064918851443,-9.006095238095227,-0.49763492063492065
2020-01-02 22:00:00,135.0,-4.873228503184733,2.9503508492568993,-6.200298301486229,3.2064506369426766,-7.23986809978766,2.949552282377909,-7.955379246284506,2.357477707006376,-8.453698779193214,1.547579617834398,-8.675851380042438,0.7881348195329075,-8.842940552017017,0.1544981422505298,-9.1161438336656,-0.4223084591284537,-9.587684652278181,-1.0973603117506
